"OTUID"	"CR1.T0_S24_L001"	"CR2.T0.KDH_S64_L001"	"CR2.T0_S23_L001"	"CR3.T0_S22_L001"	"CR4.T0_S21_L001"	"Taxon"	"Confidence"
"OTU_2214"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Parvibaculales;D_4__PS1 clade"	0.999715629814525
"OTU_2215"	9	15	0	3	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.942210102172814
"OTU_2216"	4	5	0	30	13	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Ruegeria"	0.87389060796916
"OTU_2217"	3	12	0	6	20	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__uncultured"	0.929709519134372
"OTU_2219"	0	0	0	0	4	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured"	0.999998053877482
"OTU_2220"	2	17	2	30	14	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.886629520324281
"OTU_2221"	20	34	0	26	41	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Parvibaculales;D_4__PS1 clade;D_5__marine metagenome;D_6__marine metagenome"	0.998982436981059
"OTU_2228"	0	2	0	2	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593"	0.99986987988421
"OTU_2229"	3	6	0	7	9	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__uncultured"	0.885662907540374
"OTU_2230"	4	21	0	5	0	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.928916751076281
"OTU_2234"	0	2	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group;D_5__unidentified marine bacterioplankton;D_6__unidentified marine bacterioplankton"	0.836167009334911
"OTU_2235"	8	19	0	60	31	"D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfobacterales;D_4__Desulfobulbaceae;D_5__uncultured"	0.996201189299523
"OTU_2236"	4	6	0	12	7	"D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)"	0.999999402893919
"OTU_2237"	9	8	0	21	21	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Silicimonas"	0.960267836275143
"OTU_2238"	5	36	0	2	6	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae;D_5__uncultured;D_6__uncultured marine microorganism"	0.959697820418587
"OTU_2239"	8	25	0	15	15	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.893087318926265
"OTU_224"	79	87	0	56	3	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902"	0.888376474169831
"OTU_2240"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.970540556314729
"OTU_2241"	6	17	0	19	19	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group"	0.999996777723514
"OTU_2242"	17	69	0	7	12	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__Luminiphilus"	0.989122428029844
"OTU_2245"	6	11	0	8	10	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group"	0.999996585749455
"OTU_2246"	8	28	0	12	15	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__MB11C04 marine group"	0.99999566987165
"OTU_2248"	1	1	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593;D_5__uncultured alpha proteobacterium;D_6__uncultured alpha proteobacterium"	0.839591106537654
"OTU_2249"	6	12	0	3	14	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.998793530659473
"OTU_2252"	0	0	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I"	0.999999429939204
"OTU_2253"	1	10	0	12	13	"D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales;D_4__Actinomarinaceae;D_5__Candidatus Actinomarina"	0.999974869236539
"OTU_2254"	0	5	0	5	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.99981146294838
"OTU_2258"	1	14	0	18	8	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__uncultured"	0.883407380191371
"OTU_226"	57	206	1	200	174	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade IV;D_5__uncultured bacterium;D_6__uncultured bacterium"	0.984443165746617
"OTU_2260"	6	18	0	13	30	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group;D_5__uncultured Flavobacteriia bacterium;D_6__uncultured Flavobacteriia bacterium"	0.941614334910107
"OTU_2263"	19	65	1	34	18	"D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Microtrichaceae;D_5__Sva0996 marine group;D_6__uncultured Verrucomicrobiales bacterium HF0070_30L02"	0.999282891917671
"OTU_2264"	2	0	0	1	6	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Minutocellus sp. CCMP1701;D_5__Minutocellus sp. CCMP1701;D_6__Minutocellus sp. CCMP1701"	0.921009524584978
"OTU_2265"	13	15	0	18	8	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Aureicoccus;D_6__uncultured bacterium"	0.999992145726488
"OTU_2267"	29	80	0	26	16	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group;D_6__uncultured Flavobacteriaceae bacterium"	0.893403907081306
"OTU_2268"	1	8	0	1	10	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales"	0.985845206078535
"OTU_2269"	10	23	0	46	13	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio"	0.9432394496923
"OTU_227"	0	1	0	0	0	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.810739287746271
"OTU_2270"	14	23	0	0	1	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Formosa;D_6__uncultured Flavobacterium sp."	0.946784870933769
"OTU_2271"	3	6	0	3	8	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__uncultured diatom;D_5__uncultured diatom;D_6__uncultured diatom"	0.883083576694753
"OTU_2272"	10	27	0	30	16	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.979640049536169
"OTU_2273"	0	1	0	3	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.973213217605636
"OTU_2275"	3	45	0	0	7	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__OM182 clade"	0.914679484680239
"OTU_2276"	14	74	1	17	23	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__MWH-UniP1 aquatic group;D_6__marine metagenome"	0.842720943281058
"OTU_2277"	4	18	0	10	21	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.987511283711484
"OTU_2278"	10	38	0	38	20	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.813058108395286
"OTU_228"	4	6	0	4	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.968519315174132
"OTU_2282"	0	0	0	1	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999097146161131
"OTU_2283"	9	43	0	4	0	"D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Arcobacteraceae;D_5__Arcobacter"	0.999562723995858
"OTU_2284"	0	2	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593"	0.999513173091655
"OTU_2285"	4	6	0	1	10	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingobium"	0.947907913753377
"OTU_2287"	0	0	0	2	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999592094591973
"OTU_229"	0	0	0	0	1	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.825870240968618
"OTU_2292"	13	27	0	25	21	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;D_5__uncultured alpha proteobacterium EBAC2C11;D_6__uncultured alpha proteobacterium EBAC2C11"	0.961902000920675
"OTU_2293"	1	3	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593"	0.999600991740953
"OTU_2294"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I"	0.999999649494626
"OTU_2296"	4	37	0	9	23	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.997330591219741
"OTU_2297"	0	2	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.960694542453869
"OTU_23"	765	896	3	746	248	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902"	0.959505095273449
"OTU_230"	3	5	0	1	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.999987330155616
"OTU_2301"	9	12	0	14	15	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae"	0.999038007237854
"OTU_2302"	14	1	0	19	14	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales"	0.973542180692307
"OTU_2303"	4	33	0	15	14	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group"	0.99441302788453
"OTU_2305"	5	17	0	7	10	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.906882823719972
"OTU_2307"	0	0	0	1	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999860587080671
"OTU_2309"	0	3	0	2	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.998705151458757
"OTU_2310"	13	107	0	28	47	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.914879388152171
"OTU_2311"	0	2	0	2	2	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999905633485915
"OTU_2314"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.969086746982358
"OTU_2315"	8	4	0	10	13	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae"	0.999422842057184
"OTU_2318"	18	40	0	31	33	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999259240157953
"OTU_2319"	1	0	0	0	2	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Caldilineales;D_4__Caldilineaceae;D_5__uncultured"	0.986710511743123
"OTU_232"	0	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.999985799232131
"OTU_2320"	10	3	0	27	11	"D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Sandaracinaceae;D_5__uncultured"	0.998928494371394
"OTU_2321"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group;D_5__unidentified marine bacterioplankton;D_6__unidentified marine bacterioplankton"	0.823559283774639
"OTU_2322"	9	18	0	21	14	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.99927849280714
"OTU_2325"	7	28	0	2	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade;D_5__uncultured Oceanibaculum sp.;D_6__uncultured Oceanibaculum sp."	0.914709286922115
"OTU_2326"	28	27	0	33	22	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.999385665965232
"OTU_2328"	9	30	0	4	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__Luminiphilus"	0.988931167814194
"OTU_233"	0	2	0	1	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.952220680053603
"OTU_2331"	6	20	0	7	5	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales"	0.987896597885081
"OTU_2333"	3	5	0	10	5	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Loktanella"	0.879319719843072
"OTU_2335"	1	7	0	22	8	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Rubritalea;D_6__uncultured bacterium"	0.984646580463743
"OTU_2337"	25	69	0	16	10	"D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B);D_4__uncultured bacterium HF0010_10I05;D_5__uncultured bacterium HF0010_10I05;D_6__uncultured bacterium HF0010_10I05"	0.968639690803607
"OTU_2338"	6	14	0	16	17	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__Lentimonas;D_6__seawater metagenome"	0.989511244276711
"OTU_2339"	4	16	0	22	11	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.999782916637027
"OTU_234"	23	146	1	123	111	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade;D_4__uncultured gamma proteobacterium HF0070_25G02;D_5__uncultured gamma proteobacterium HF0070_25G02;D_6__uncultured gamma proteobacterium HF0070_25G02"	0.999873790616963
"OTU_2340"	10	38	1	30	31	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__MB11C04 marine group"	0.999993909794234
"OTU_2341"	7	11	0	18	23	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group;D_5__uncultured Flavobacteriia bacterium;D_6__uncultured Flavobacteriia bacterium"	0.936254394043448
"OTU_2342"	1	0	0	0	0	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__MB11C04 marine group"	0.999998650178847
"OTU_2343"	1	10	0	9	6	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999999974984892
"OTU_2347"	1	7	0	9	4	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593"	0.999990672447595
"OTU_2348"	2	1	0	0	0	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Caldilineales;D_4__Caldilineaceae;D_5__uncultured;D_6__uncultured bacterium"	0.813300897529706
"OTU_2351"	6	39	0	0	8	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__OM182 clade"	0.922381898770417
"OTU_2352"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.978524243371543
"OTU_2353"	2	2	0	21	2	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__uncultured;D_6__uncultured bacterium"	0.997744736955737
"OTU_2354"	14	17	0	87	25	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.999285770070274
"OTU_2355"	3	25	0	8	14	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Puniceispirillales;D_4__SAR116 clade"	0.998493132464593
"OTU_2357"	2	11	0	14	23	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__MB11C04 marine group"	0.999996715148211
"OTU_2358"	2	18	0	3	1	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae;D_5__uncultured;D_6__uncultured marine microorganism"	0.964543616838403
"OTU_2359"	2	8	0	9	6	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.859695860766129
"OTU_2361"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.888033126639133
"OTU_2365"	11	11	0	14	7	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group"	0.973941044145011
"OTU_2367"	0	2	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.943419628796128
"OTU_2368"	2	18	1	26	13	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae"	0.968441054734892
"OTU_237"	0	6	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia"	0.946424122116973
"OTU_2370"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade"	0.99993299521537
"OTU_2371"	4	47	0	24	30	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.965540673784746
"OTU_2372"	8	23	0	18	12	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group"	0.99334330847286
"OTU_2375"	7	28	0	29	12	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade IV;D_5__uncultured bacterium;D_6__uncultured bacterium"	0.979517597403925
"OTU_2376"	0	9	0	5	18	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__uncultured"	0.913387302063797
"OTU_2378"	3	9	0	11	30	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999995319189349
"OTU_2379"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.997181015529867
"OTU_2384"	1	8	0	27	6	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Photobacterium"	0.99899821214451
"OTU_2386"	3	9	0	55	22	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Ruegeria"	0.886783931399459
"OTU_2387"	11	22	0	3	2	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__bacterium WHC4-8;D_5__bacterium WHC4-8;D_6__bacterium WHC4-8"	0.998416927673589
"OTU_239"	1	2	0	0	0	"D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Ardenticatenales;D_4__Ardenticatenaceae;D_5__uncultured;D_6__uncultured bacterium"	0.854326754045139
"OTU_2390"	1	1	0	5	4	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593"	0.999994768865677
"OTU_2393"	7	13	0	10	16	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae"	0.999154606190517
"OTU_2395"	2	11	0	10	6	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999992652693897
"OTU_2397"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.991175080671341
"OTU_2398"	0	2	0	0	1	"D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__MB11C04 marine group"	0.999996070314853
"OTU_2399"	1	5	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__S25-593;D_5__uncultured alpha proteobacterium;D_6__uncultured alpha proteobacterium"	0.904423109788928
"OTU_24"	736	841	4	624	252	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902"	0.959405347429416
"OTU_240"	28	72	0	54	78	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313"	0.867014501379158
"OTU_2400"	1	2	0	1	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Ruegeria"	0.84254898231289
"OTU_2401"	5	15	0	4	15	"D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast"	0.999875951888915
"OTU_2402"	3	12	0	15	13	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade IV;D_5__uncultured bacterium;D_6__uncultured bacterium"	0.970652802635603
"OTU_2405"	0	3	0	2	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__Luminiphilus;D_6__uncultured gamma proteobacterium"	0.823807999144558
"OTU_2407"	2	0	0	0	1	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured;D_4__unidentified marine bacterioplankton;D_5__unidentified marine bacterioplankton;D_6__unidentified marine bacterioplankton"	0.866789129358974
"OTU_2409"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ib"	0.974557314457467
"OTU_241"	121	104	0	51	83	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae"	0.99976570463794
"OTU_2410"	0	1	0	0	0	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.891887493534403
"OTU_2413"	1	11	0	2	18	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae;D_5__Pseudoalteromonas"	0.819650881990399
"OTU_2415"	3	7	0	3	7	"D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II"	0.98503576197093
"OTU_2419"	1	3	0	4	31	"D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae;D_5__Pseudoalteromonas"	0.800643498672402
"OTU_242"	71	136	0	147	126	"D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales;D_4__Actinomarinaceae;D_5__Candidatus Actinomarina"	0.948630636564391
"OTU_2422"	13	45	0	18	9	"D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group;D_6__uncultured Flavobacteriaceae bacterium"	0.873828075967668
